name,symbol_ricequant,symbol_tushare
中证军工,399967.XSHE,S99967.JZ
中证军工,399967.XSHE,h30229.CSI
巨潮中盘,399315.XSHE,399315.SZ
上证银行,000134.XSHG,000134.SH
民企200,399939.XSHE,399939.SZ
民企200,399939.XSHE,000939.SH
内地农业,000949.XSHG,399949.SZ
内地农业,000949.XSHG,000949.SH
内地农业,000949.XSHG,000949.CSI
180R价值,000031.XSHG,000031.SH
380高贝,000137.XSHG,000137.SH
深证新兴,399641.XSHE,399641.SZ
能源等权,000070.XSHG,000070.SH
300地产,000952.XSHG,399952.SZ
300地产,000952.XSHG,000952.SH
深公司债,399302.XSHE,399302.SZ
上证金融,000038.XSHG,000038.SH
中证能源,000928.XSHG,399928.SZ
中证能源,000928.XSHG,000928.SH
国证食品,399396.XSHE,399396.SZ
国证食品,399396.XSHE,S99396.JZ
300地产,399952.XSHE,399952.SZ
300地产,399952.XSHE,000952.SH
周期100,399402.XSHE,399402.SZ
500等权,000982.XSHG,399982.SZ
500等权,000982.XSHG,000982.SH
500等权,000982.XSHG,502000.SH
深成指R,399002.XSHE,399002.SZ
中证100,399903.XSHE,399903.SZ
中证100,399903.XSHE,000903.SH
500深市,399802.XSHE,399802.SZ
300医药,399913.XSHE,000913.SH
沪投资品,000102.XSHG,000102.SH
细分化工,000813.XSHG,000813.SH
细分化工,000813.XSHG,000813.CSI
国证2000,399303.XSHE,399303.SZ
180价值,000029.XSHG,000029.SH
380稳定,000142.XSHG,000142.SH
上央红利,000152.XSHG,000152.SH
中小责任,399651.XSHE,399651.SZ
深证绩效,399655.XSHE,399655.SZ
上证380,000009.XSHG,000009.SH
深信用债,399301.XSHE,399301.SZ
上证海外,000054.XSHG,000054.SH
国证民营,399362.XSHE,399362.SZ
小康指数,399901.XSHE,399901.SZ
小康指数,399901.XSHE,000901.SH
中证医药,399933.XSHE,399933.SZ
中证医药,399933.XSHE,000933.SH
全指能源,000986.XSHG,159945.SZ
全指能源,000986.XSHG,000986.SH
中创低波,399665.XSHE,399665.SZ
全指材料,000987.XSHG,159944.SZ
全指材料,000987.XSHG,000987.SH
国证军工,399368.XSHE,399368.SZ
中小板综,399101.XSHE,399101.SZ
新综指,000017.XSHG,000017.SH
内地消费,000942.XSHG,399942.SZ
内地消费,000942.XSHG,000942.SH
内地消费,000942.XSHG,000942.CSI
中小板EW,399634.XSHE,399634.SZ
300医药,000913.XSHG,000913.SH
300可选,399911.XSHE,000911.SH
内地资源,399944.XSHE,399944.SZ
内地资源,399944.XSHE,000944.SH
300金融,000914.XSHG,000914.SH
深成能源,399680.XSHE,399680.SZ
巨潮大盘,399314.XSHE,399314.SZ
中小治理,399650.XSHE,399650.SZ
细分有色,000811.XSHG,000811.SH
细分有色,000811.XSHG,000811.CSI
央视成长,399552.XSHE,399552.SZ
380能源,000104.XSHG,000104.SH
深证治理,399328.XSHE,399328.SZ
380动态,000141.XSHG,000141.SH
上证F500,000100.XSHG,000100.SH
深成材料,399681.XSHE,399681.SZ
创业板EW,399635.XSHE,399635.SZ
央视责任,399555.XSHE,399555.SZ
上证上游,000094.XSHG,000094.SH
300R成长,000920.XSHG,399920.SZ
300R成长,000920.XSHG,000920.SH
中证工业净收益美元,H30316.XSHG,h30316.CSI
380医药,000109.XSHG,000109.SH
深消费50,399646.XSHE,399646.SZ
大消费,000997.XSHG,000997.SH
上证流通,000090.XSHG,000090.SH
国证基金,399379.XSHE,399379.SZ
300公用,000917.XSHG,000917.SH
300公用,000917.XSHG,L11525.CSI
国债指数,000012.XSHG,000012.SH
细分能源,000810.XSHG,000810.SH
细分能源,000810.XSHG,000810.CSI
深证300,399007.XSHE,399007.SZ
中小基础,399623.XSHE,399623.SZ
深医药50,399647.XSHE,399647.SZ
300高贝,000828.XSHG,000828.SH
中盘成长,399374.XSHE,399374.SZ
优势成长,399698.XSHE,399698.SZ
钱江30,000975.XSHG,000975.SH
红利指数,000015.XSHG,000015.SH
国证ETF,399380.XSHE,399380.SZ
中创400,399624.XSHE,399624.SZ
中创400,399624.XSHE,159918.SZ
300等权,000984.XSHG,159924.SZ
300等权,000984.XSHG,000984.SH
国证300,399312.XSHE,399312.SZ
国证转债,399413.XSHE,399413.SZ
公用指数,000007.XSHG,000007.SH
深周期50,399670.XSHE,399670.SZ
创业板R,399606.XSHE,399606.SZ
180高贝,000135.XSHG,000135.SH
180治理,000021.XSHG,000021.SH
中盘价值,399375.XSHE,399375.SZ
上证民企,000049.XSHG,000049.SH
300成长,399918.XSHE,000918.SH
中证能源,399928.XSHE,399928.SZ
中证能源,399928.XSHE,000928.SH
优势制造,000146.XSHG,000146.SH
300银行,000951.XSHG,399951.SZ
300银行,000951.XSHG,000951.SH
300银行,000951.XSHG,L11516.CSI
高端装备,000097.XSHG,000097.SH
深证F200,399703.XSHE,399703.SZ
绩效指数,399398.XSHE,399398.SZ
上证消费,000036.XSHG,000036.SH
深证电信,399621.XSHE,399621.SZ
上证周期,000063.XSHG,000063.SH
中证100,000903.XSHG,399903.SZ
中证100,000903.XSHG,000903.SH
大宗商品,399979.XSHE,399979.SZ
大宗商品,399979.XSHE,161715.SZ
大宗商品,399979.XSHE,000979.SH
民企200,000939.XSHG,399939.SZ
民企200,000939.XSHG,000939.SH
上证180,SSE180.INDX,000010.SH
上证180,SSE180.INDX,S00010.JZ
公用等权,000079.XSHG,000079.SH
深证材料,399614.XSHE,399614.SZ
180ERC,H50067.XSHG,h50067.CSI
深证F60,399701.XSHE,399701.SZ
市值百强,000155.XSHG,000155.SH
国证新兴,399392.XSHE,399392.SZ
南方低碳,399378.XSHE,399378.SZ
中创价值,399627.XSHE,399627.SZ
800等权,000842.XSHG,000842.SH
中金消费,399364.XSHE,399364.SZ
深证300R,399344.XSHE,399344.SZ
中小价值,399604.XSHE,399604.SZ
上证指数,000001.XSHG,000001.SH
300基建,399950.XSHE,399950.SZ
300基建,399950.XSHE,000950.SH
OCT文化,399397.XSHE,399397.SZ
上证健康,H50044.XSHG,h50044.CSI
中证500净收益美元,H30310.XSHG,h30310.CSI
500红利,000822.XSHG,000822.SH
深证公用,399622.XSHE,399622.SZ
全指金融,000992.XSHG,159940.SZ
全指金融,000992.XSHG,000992.SH
深成医药,399685.XSHE,399685.SZ
深证红利,399324.XSHE,399324.SZ
380波动,000130.XSHG,000130.SH
央企100,000927.XSHG,399927.SZ
央企100,000927.XSHG,000927.SH
央企100,000927.XSHG,000927.CSI
浙江民企,000840.XSHG,000840.SH
500波动,000804.XSHG,000804.SH
500波动,000804.XSHG,000804.CSI
基本面50,000925.XSHG,399925.SZ
基本面50,000925.XSHG,000925.SH
深证环保,399638.XSHE,399638.SZ
中盘高贝,399407.XSHE,399407.SZ
创业新兴,399643.XSHE,399643.SZ
中小新兴,399642.XSHE,399642.SZ
深A医药,399674.XSHE,399674.SZ
深证创新,399016.XSHE,399332.SZ
深证创新,399016.XSHE,399016.SZ
申万证券,851931.INDX,163113.SZ
500美元对冲,H30406.XSHG,h30406.CSI
煤炭指数,000820.XSHG,000820.SH
煤炭指数,000820.XSHG,000820.CSI
中型综指,000020.XSHG,000020.SH
上证军工,H50036.XSHG,h50036.CSI
中创高贝,399666.XSHE,399666.SZ
内地金融,000946.XSHG,399946.SZ
内地金融,000946.XSHG,000946.SH
内地金融,000946.XSHG,000946.CSI
资源优势,399319.XSHE,399319.SZ
国证高铁,399419.XSHE,399419.SZ
基本600,000967.XSHG,000967.SH
基本600,000967.XSHG,000967.CSI
财富大盘,000940.XSHG,000940.SH
上证新兴,000067.XSHG,000067.SH
深证医药,399618.XSHE,399618.SZ
成长40,399326.XSHE,399326.SZ
国企红利,000824.XSHG,000824.SH
全指医药,000991.XSHG,000991.SH
中证可选净收益美元,H30311.XSHG,h30311.CSI
180资源,000026.XSHG,000026.SH
等权90,000971.XSHG,000971.SH
深证中游,399705.XSHE,399705.SZ
180成长,000028.XSHG,000028.SH
深红利50,399672.XSHE,399672.SZ
深证农业,399669.XSHE,399669.SZ
上证转债,000139.XSHG,000139.SH
上证150,000133.XSHG,000133.SH
资源80,000801.XSHG,000801.SH
资源80,000801.XSHG,000801.CSI
中经GDP,399399.XSHE,399399.SZ
上国改革,H50052.XSHG,h50052.CSI
国证价值,399371.XSHE,399371.SZ
两岸三地,000999.XSHG,000999.SH
两岸三地,000999.XSHG,h11108.CSI
国证红利,399321.XSHE,399321.SZ
上民红利,000153.XSHG,000153.SH
巨潮100,399313.XSHE,399313.SZ
上证养老,H50043.XSHG,h50043.CSI
300R价值,000921.XSHG,000921.SH
长三角,H30002.XSHG,399355.SZ
新能源,000941.XSHG,399941.SZ
新能源,000941.XSHG,160640.SZ
新能源,000941.XSHG,000941.SH
新能源,000941.XSHG,000941.CSI
深证大宗,399639.XSHE,399639.SZ
中证地企,000953.XSHG,399953.SZ
中证地企,000953.XSHG,000953.SH
中证地企,000953.XSHG,000953.CSI
巨潮小盘,399316.XSHE,399316.SZ
1000公用,399390.XSHE,399390.SZ
1000公用,399390.XSHE,h30448.CSI
深证下游,399706.XSHE,399706.SZ
上证工业,000034.XSHG,000034.SH
全指消费,000990.XSHG,159946.SZ
全指消费,000990.XSHG,000990.SH
创业板G,399667.XSHE,399667.SZ
领先行业,000996.XSHG,000996.SH
中创EW,399660.XSHE,399660.SZ
消费80,000069.XSHG,000069.SH
深证上游,399704.XSHE,399704.SZ
中证医药,000933.XSHG,399933.SZ
中证医药,000933.XSHG,000933.SH
深证时钟,399644.XSHE,399644.SZ
380等权,000115.XSHG,000115.SH
中高企债,000833.XSHG,000833.SH
1000工业,399383.XSHE,399383.SZ
1000工业,399383.XSHE,h30441.CSI
责任指数,000048.XSHG,000048.SH
380红利,000150.XSHG,000150.SH
300电信,000916.XSHG,000916.SH
180等权,000051.XSHG,000051.SH
180波动,000129.XSHG,000129.SH
上证中游,000095.XSHG,000095.SH
新兴成指,000171.XSHG,000171.SH
新兴成指,000171.XSHG,000171.CSI
50美元对冲,H50061.XSHG,h50061.CSI
深医药EW,399676.XSHE,399676.SZ
大中盘,399400.XSHE,399400.SZ
沪股通,000159.XSHG,000159.SH
巨潮地产,399367.XSHE,399367.SZ
农业主题,000122.XSHG,000122.SH
180分层,000093.XSHG,000093.SH
超大盘,000043.XSHG,000043.SH
深证F120,399702.XSHE,399702.SZ
中证可选,399931.XSHE,399931.SZ
中证可选,399931.XSHE,000931.SH
创业板50,399673.XSHE,399673.SZ
创业板50,399673.XSHE,159949.SZ
上国红利,000151.XSHG,000151.SH
380ERC,H50068.XSHG,h50068.CSI
消费等权,000074.XSHG,000074.SH
180动量,H50057.XSHG,h50057.CSI
800动量,H30400.XSHG,h30400.CSI
食品饮料,801120.INDX,000807.SH
中证红利,399922.XSHE,399922.SZ
中证红利,399922.XSHE,000922.SH
国证大宗,399366.XSHE,399366.SZ
创业300,399012.XSHE,399012.SZ
SME创新,399017.XSHE,399017.SZ
300材料,000909.XSHG,000909.SH
300材料,000909.XSHG,L11502.CSI
中证信息,399935.XSHE,399935.SZ
中证信息,399935.XSHE,000935.SH
中证信息,399935.XSHE,S99935.JZ
深证100,399330.XSHE,399330.SZ
深证100,399330.XSHE,161227.SZ
优势资源,000145.XSHG,000145.SH
深100EW,399632.XSHE,399632.SZ
深证200R,399679.XSHE,399679.SZ
中证上游,000961.XSHG,399961.SZ
中证上游,000961.XSHG,000961.SH
380低贝,000138.XSHG,000138.SH
1000消费,399385.XSHE,399385.SZ
1000消费,399385.XSHE,h30443.CSI
上证信息,000039.XSHG,000039.SH
新硬件,399360.XSHE,399360.SZ
沪深300,000300.XSHG,399300.SZ
沪深300,000300.XSHG,000300.SH
沪深300,000300.XSHG,S00300.JZ
国证农业,399365.XSHE,399365.SZ
上证高新,000131.XSHG,000131.SH
中创高新,399652.XSHE,399652.SZ
上证50,000016.XSHG,000016.SH
上证50,000016.XSHG,510800.SH
上证50,000016.XSHG,S00016.JZ
上证50,000016.XSHG,K00016.JZ
中证下游,000963.XSHG,399963.SZ
中证下游,000963.XSHG,000963.SH
300价值,000919.XSHG,000919.SH
300价值,000919.XSHG,519671.SH
细分医药,000814.XSHG,000814.SH
沪新丝路,000160.XSHG,000160.SH
细分机械,000812.XSHG,000812.SH
细分机械,000812.XSHG,000812.CSI
深成指EW,399659.XSHE,399659.SZ
全指可选,000989.XSHG,000989.SH
环渤海,H30001.XSHG,399357.SZ
内地低碳,399977.XSHE,399977.SZ
内地低碳,399977.XSHE,000977.SH
细分地产,000816.XSHG,000816.SH
中小绩效,399658.XSHE,399658.SZ
沪大农业,H50055.XSHG,h50055.CSI
深次新股,399678.XSHE,399678.SZ
300能源,000908.XSHG,000908.SH
300能源,000908.XSHG,L11501.CSI
300深市,399972.XSHE,399972.SZ
50基本,000052.XSHG,000052.SH
深证文化,399654.XSHE,399654.SZ
中小红利,399649.XSHE,399649.SZ
中证公用,000937.XSHG,399937.SZ
中证公用,000937.XSHG,000937.SH
中证公用,000937.XSHG,000937.CSI
房地产,801180.INDX,160628.SZ
房地产,801180.INDX,512200.SH
央企红利,000825.XSHG,000825.SH
有色金属,801050.INDX,165316.SZ
有色金属,801050.INDX,000819.SH
有色金属,801050.INDX,512400.SH
有色金属,801050.INDX,CFNMSA.JZ
有色金属,801050.INDX,h30191.CSI
180基建,000025.XSHG,000025.SH
军工指数,399959.XSHE,399959.SZ
深证消费,399617.XSHE,399617.SZ
中证材料净收益美元,H30317.XSHG,h30317.CSI
深证转债,399307.XSHE,399307.SZ
工业指数,000004.XSHG,000004.SH
300消费,399912.XSHE,000912.SH
深证700,399010.XSHE,399010.SZ
创业成长,399958.XSHE,399958.SZ
创业成长,399958.XSHE,000958.SH
创业成长,000958.XSHG,399958.SZ
创业成长,000958.XSHG,000958.SH
中证金融,399934.XSHE,399934.SZ
中证金融,399934.XSHE,000934.SH
180运输,000027.XSHG,000027.SH
上证移动,H50053.XSHG,h50053.CSI
300非周,000969.XSHG,399969.SZ
300非周,000969.XSHG,000969.SH
信息等权,000077.XSHG,000077.SH
深证100R,399004.XSHE,399004.SZ
深证100R,399004.XSHE,S99004.JZ
小康指数,000901.XSHG,399901.SZ
小康指数,000901.XSHG,000901.SH
内地运输,000945.XSHG,399945.SZ
内地运输,000945.XSHG,000945.SH
内地运输,000945.XSHG,000945.CSI
医药等权,000075.XSHG,000075.SH
300工业,399910.XSHE,000910.SH
深成电信,399688.XSHE,399688.SZ
全指电信,000994.XSHG,000994.SH
全指电信,000994.XSHG,000994.CSI
深证地产,399637.XSHE,399637.SZ
有色金属,000819.XSHG,165316.SZ
有色金属,000819.XSHG,000819.SH
有色金属,000819.XSHG,512400.SH
有色金属,000819.XSHG,CFNMSA.JZ
有色金属,000819.XSHG,h30191.CSI
1000医药,399386.XSHE,399386.SZ
1000医药,399386.XSHE,h30444.CSI
中证800,000906.XSHG,000906.SH
中证800,000906.XSHG,S00906.JZ
中证信息,000935.XSHG,399935.SZ
中证信息,000935.XSHG,000935.SH
中证信息,000935.XSHG,S99935.JZ
中证超大,000980.XSHG,399980.SZ
中证超大,000980.XSHG,000980.SH
中证超大,000980.XSHG,000980.CSI
创业创新,399018.XSHE,399018.SZ
信用100,000116.XSHG,000116.SH
深证创新,399332.XSHE,399332.SZ
深证创新,399332.XSHE,399016.SZ
地企100,000954.XSHG,399954.SZ
地企100,000954.XSHG,000954.SH
地企100,000954.XSHG,000954.CSI
国证商业,399361.XSHE,399361.SZ
智能资产,000983.XSHG,000983.SH
380消费,000108.XSHG,000108.SH
长三角,399355.XSHE,399355.SZ
