name,symbol_ricequant,symbol_tushare
180动态,000123.XSHG,000123.SH
上证中盘,000044.XSHG,000044.SH
中小盘,399401.XSHE,399401.SZ
1000能源,399381.XSHE,399381.SZ
1000能源,399381.XSHE,h30439.CSI
细分金融,000818.XSHG,000818.SH
细分金融,000818.XSHG,000818.CSI
300银行,399951.XSHE,399951.SZ
300银行,399951.XSHE,000951.SH
300银行,399951.XSHE,L11516.CSI
深互联EW,399677.XSHE,399677.SZ
深证成长,399346.XSHE,399346.SZ
180美元对冲,H50062.XSHG,h50062.CSI
上证50,SSE50.INDX,000016.SH
上证50,SSE50.INDX,510800.SH
上证50,SSE50.INDX,S00016.JZ
上证50,SSE50.INDX,K00016.JZ
深成消费,399684.XSHE,399684.SZ
1000可选,399384.XSHE,399384.SZ
1000可选,399384.XSHE,h30442.CSI
1000美元对冲,H30454.XSHG,h30454.CSI
中创500,399625.XSHE,399625.SZ
中证新兴,399964.XSHE,399964.SZ
中证新兴,399964.XSHE,000964.SH
全指工业,000988.XSHG,000988.SH
全指工业,000988.XSHG,000988.CSI
深证工业,399615.XSHE,399615.SZ
港股通,H50069.XSHG,h50069.CSI
全指公用,000995.XSHG,000995.SH
全指公用,000995.XSHG,000995.CSI
深证高贝,399662.XSHE,399662.SZ
深证能源,399613.XSHE,399613.SZ
上证龙头,000065.XSHG,000065.SH
300绩效,399657.XSHE,399657.SZ
全R价值,000060.XSHG,000060.SH
上证F300,000099.XSHG,000099.SH
国企200,000956.XSHG,399956.SZ
国企200,000956.XSHG,000956.SH
国企200,000956.XSHG,000956.CSI
浙企综指,000839.XSHG,000839.SH
300金融,399914.XSHE,000914.SH
中小专利,399690.XSHE,399690.SZ
1000信息,399388.XSHE,399388.SZ
1000信息,399388.XSHE,h30446.CSI
苏州率先,399410.XSHE,399410.SZ
500等权,399982.XSHE,399982.SZ
500等权,399982.XSHE,000982.SH
500等权,399982.XSHE,502000.SH
380R价值,000120.XSHG,000120.SH
电信等权,000078.XSHG,000078.SH
医药生物,000808.XSHG,163118.SZ
医药生物,000808.XSHG,000808.SH
300周期,000968.XSHG,399968.SZ
300周期,000968.XSHG,000968.SH
300周期,000968.XSHG,000968.CSI
沪企债30,000061.XSHG,000061.SH
创业价值,000838.XSHG,000838.SH
上证公用,000041.XSHG,000041.SH
